recovered,total_hospitalized,deaths,date,hospitalized_today,active,district,isolation,observation,confirmed
,9,,2020-3-19,3,2,Kasaragod,508,517,
17088,4013,71,2020-11-5,36,2160,Kasaragod,447,4460,19323
8663,1140,57,2020-10-5,61,3750,Kasaragod,3448,4588,12474
22556,210,85,2021-1-3,8,1718,Kasaragod,3762,3972,24363
23488,200,90,2021-1-15,17,1597,Kasaragod,5822,6022,25179
16126,490,69,2020-10-30,36,2283,Kasaragod,4203,4693,18482
,106,,2020-6-9,10,101,Kasaragod,8472,8578,
,106,,2020-7-9,5,109,Kasaragod,6564,6670,
20020,403,75,2020-11-30,32,1799,Kasaragod,7592,7995,21898
20325,327,75,2020-12-4,18,1921,Kasaragod,7700,8027,22325
,650,,2020-7-28,36,642,Kasaragod,3478,4128,
,116,,2020-6-28,11,112,Kasaragod,6481,6597,
,216,,2020-4-13,1,85,Kasaragod,9840,10056,
,205,,2020-5-13,43,4,Kasaragod,1130,1335,
,32,,2020-5-24,0,26,Kasaragod,4538,4570,
,41,,2020-4-24,1,17,Kasaragod,2552,2593,
,232,,2020-4-5,43,119,Kasaragod,10499,10731,
,21,,2020-5-5,0,3,Kasaragod,1135,1156,
33058,555,183,2020-12-18,65,3484,Kannur,22866,23421,36733
43386,532,255,2021-2-1,36,3989,Kannur,12651,13183,47651
2668,1024,26,2020-8-31,112,900,Kannur,10566,11590,3596
7300,1275,47,2020-10-2,147,5199,Kannur,14402,15677,12549
,192,,2020-6-7,24,125,Kannur,18837,19029,
19987,953,112,2020-11-2,76,5190,Kannur,19256,20209,25294
,426,,2020-7-7,22,299,Kannur,24356,24782,
,459,,2020-7-26,76,473,Kannur,12058,12517,
,282,,2020-6-26,28,157,Kannur,18753,19035,
,184,,2020-6-11,20,123,Kannur,21544,21728,
,431,,2020-7-11,86,347,Kannur,24619,25050,
43008,553,249,2021-1-30,79,3987,Kannur,12252,12805,47264
26391,697,144,2020-11-19,70,3616,Kannur,16069,16766,30156
14013,1014,82,2020-10-19,81,6116,Kannur,15779,16793,20214
30132,507,159,2020-12-3,42,3039,Kannur,20919,21426,33336
,0,,2020-3-1,0,0,Kannur,9,9,
,25,,2020-3-20,11,1,Kannur,4465,4490,
,26,,2020-3-17,7,1,Kannur,798,824,
15555,1056,89,2020-10-22,114,5910,Kannur,16383,17439,21557
27510,648,147,2020-11-22,63,3189,Kannur,16082,16730,30851
